Stock,Last Close,Pattern Description,Start,End,Breakout,Breakout Date,Approx. Breakout Price,Fill Price,Avg 3 Mo. Volume,Ultimate High/Low,Ultimate H/L Date,Approx. Target,Volatility Stop,Trade Status,Pattern Width (days/price bars),Height,Stage
CARBORUNIV.txt,1212.75,Broadening bottom (BB),02/06/2018,05/21/2018,Down,06/27/2018,322.25,316.1,"54,881",313.85,06/29/2018,258.5 or -20%,350.02 or 5%,Stop (350.02) triggered on 07/24/2018,105,Tall,
CCL.txt,653.5,Broadening bottom (BB),10/03/2018,04/25/2019,Down,10/23/2019,225.5,219.9,"42,127",180,12/13/2019,144.1 or -36%,246.89 or 7%,Stop (246.89) triggered on 02/05/2020,205,Tall,
CENTUM.txt,1328.9,Broadening bottom (BB),02/16/2017,06/07/2017,Up,06/16/2017,720,730,"10,825",760,06/19/2017,870 or 21%,622.26 or -10%,Stop (622.26) triggered on 08/03/2017,112,Tall,
CGCL.txt,747.2,Broadening bottom (BB),07/06/2022,08/30/2022,Up,10/24/2022,745,765.15,"98,920",807.95,12/28/2022,829 or 11%,702 or -4%,Stop (702) triggered on 02/17/2023,56,Short,
CHEMBOND.txt,403.8,Broadening bottom (BB),05/24/2021,06/30/2021,Up,07/14/2021,228.15,230.8,"70,896",264.75,08/04/2021,263.3 or 15%,192.87 or -9%,Target (263.3) reached on 08/03/2021,38,Tall,
CHOLAFIN.txt,1121.9,Broadening bottom (BB),10/06/2022,11/18/2022,Down,01/05/2023,684.15,683.45,"1,299,642",658,01/06/2023,600.85 or -12%,776.64 or 5%,Stop (776.64) triggered on 02/02/2023,44,Short,
COALINDIA.txt,227.25,Broadening bottom (BB),01/06/2023,04/19/2023,Up,05/02/2023,234.6,236.05,"6,238,106",,,261.6 or 12%,224.03 or -3%,Open,104,Short,
COFFEEDAY.txt,37.85,Broadening bottom (BB),05/31/2017,07/03/2017,Down,08/10/2017,240.1,236.3,"104,906",204,09/25/2017,220.2 or -8%,258.98 or 5%,Target (220.2) reached on 09/25/2017,34,Short,
COLPAL.txt,1644.3,Broadening bottom (BB),02/17/2016,03/21/2016,Up,05/31/2016,858.7,863,"328,491",1281.7,05/21/2018,927.35 or 8%,800.27 or -4%,Target (927.35) reached on 07/04/2016,34,Short,
CONCOR.txt,636.35,Broadening bottom (BB),08/13/2018,09/05/2018,Up,09/07/2018,656.5,656.5,"597,993",670.1,09/07/2018,691.7 or 5%,595.89 or -5%,Stop (595.89) triggered on 10/05/2018,24,Short,
CONSOFINVT.txt,147.55,Broadening bottom (BB),12/13/2019,01/06/2020,Up,01/16/2020,39,40.35,"2,834",41.4,01/17/2020,44 or 13%,33.38 or -10%,Stop (33.38) triggered on 02/28/2020,25,Tall,
CRISIL.txt,3950.85,Broadening bottom (BB),01/14/2014,03/10/2014,Up,03/31/2014,1208,1240,"13,059",2258,09/23/2014,1365.95 or 13%,1133.61 or -5%,Target (1365.95) reached on 05/14/2014,56,Tall,
CRISIL.txt,3950.85,Broadening bottom (BB),10/26/2017,12/12/2017,Up,01/01/2018,1889.95,1900,"22,675",2023,02/14/2018,2018.9 or 7%,1788.68 or -4%,Target (2018.9) reached on 02/14/2018,48,Short,
CRISIL.txt,3950.85,Broadening bottom (BB),02/22/2018,05/30/2018,Down,10/16/2018,1608.6,1596,"12,272",1335,10/26/2018,1195.5 or -26%,1738.7 or 6%,Target (1195.5) reached on 08/05/2019,98,Tall,
CRISIL.txt,3950.85,Broadening bottom (BB),12/23/2020,01/18/2021,Up,02/15/2021,1984.9,2031,"30,313",2049,02/16/2021,2079.8 or 5%,1829.76 or -5%,Stop (1829.76) triggered on 03/31/2021,27,Short,
